latitude,longitude,Units,Construction Year,Type,Area,Floors,Height
45.5011883,-73.5569835,3.0,1917.0,residential,168.0,4.0,30.0
45.5008916,-73.55721849999998,7.0,1860.0,residential,239.0,4.0,30.0
45.5028783,-73.55628809999997,2.0,1880.0,residential,221.0,4.0,30.0
45.503252,-73.55668399999998,1.0,1904.0,residential,17.0,1.0,7.5
45.5082236,-73.5706403,6.0,1885.0,residential,209.0,3.0,22.5
45.503252,-73.55668399999998,1.0,1904.0,residential,8.0,1.0,7.5
45.503252,-73.55668399999998,1.0,1904.0,residential,15.0,1.0,7.5
45.5081683,-73.57043370000002,1.0,1915.0,residential,209.0,3.0,22.5
45.503252,-73.55668399999998,1.0,1904.0,residential,14.0,1.0,7.5
45.5081271,-73.57052370000002,1.0,1900.0,residential,210.0,3.0,22.5
45.503252,-73.55668399999998,1.0,1904.0,residential,17.0,1.0,7.5
45.50810190000001,-73.5704179,1.0,1870.0,residential,210.0,3.0,22.5
45.503252,-73.55668399999998,1.0,1904.0,residential,8.0,1.0,7.5
45.508062,-73.5702589,4.0,1910.0,residential,421.0,3.0,22.5
45.503252,-73.55668399999998,1.0,1904.0,residential,10.0,1.0,7.5
45.503252,-73.55668399999998,1.0,1904.0,residential,13.0,1.0,7.5
45.503252,-73.55668399999998,1.0,1904.0,residential,15.0,1.0,7.5
45.503252,-73.55668399999998,1.0,1904.0,residential,17.0,1.0,7.5
45.503252,-73.55668399999998,1.0,1904.0,residential,9.0,1.0,7.5
45.503252,-73.55668399999998,1.0,1904.0,residential,9.0,1.0,7.5
45.503252,-73.55668399999998,1.0,1904.0,residential,14.0,1.0,7.5
45.503252,-73.55668399999998,1.0,1904.0,residential,16.0,1.0,7.5
45.503252,-73.55668399999998,1.0,1904.0,residential,17.0,1.0,7.5
45.503252,-73.55668399999998,1.0,1904.0,residential,9.0,1.0,7.5
45.503252,-73.55668399999998,1.0,1904.0,residential,9.0,1.0,7.5
45.503252,-73.55668399999998,1.0,1904.0,residential,14.0,1.0,7.5
45.503252,-73.55668399999998,1.0,1904.0,residential,16.0,1.0,7.5
