url,latitude,longitude,image_url,Use of property,Year built,Available area,Building area (at ground level),Number of units,Building style,Lot area,Parking,"
Residential units                        ",Main unit,Potential gross revenue,Zoning,Type of business,Additional features,Fireplace/Stove,"
Residential unit                        "
https://www.centris.ca/en/commercial-units~for-rent~victoriaville/17709634?view=Summary&uc=2,46.060611,-71.954462,https://mspublic.centris.ca/media.ashx?id=ADDD250D4FF12C6D1D528C4D14&t=pi&w=1024&h=1024&sm=c,Commercial and office space,,"1,814 sqft",,Commercial (1),,,,,,,,Office,,,
https://www.centris.ca/en/businesses~for-sale~ville-marie-montreal/25164676?view=Summary,45.504661,-73.571082,https://mspublic.centris.ca/media.ashx?id=ADDD250D49EC0E8D10669BCD1C&t=pi&w=1024&h=1024&sm=c,,,,,,,,,,,,,Dry-cleaning,,,
https://www.centris.ca/en/commercial-units~for-rent~saint-jean-sur-richelieu/11847278?view=Summary&uc=2,45.316329,-73.264344,https://mspublic.centris.ca/media.ashx?id=ADDD250D2D2C404DD9C7AA5D1F&t=pi&w=1024&h=1024&sm=c,Commercial and office space,,"16,673 sqft",,Office (1),,,,,,,,,,,
https://www.centris.ca/en/businesses~for-sale~ville-marie-montreal/26499400?view=Summary,45.499014,-73.555173,https://mspublic.centris.ca/media.ashx?id=ADDD250D4545DA8D1FCEFCBD12&t=pi&w=1024&h=1024&sm=c,,,,,,,,,,,,,Restaurant,,,
https://www.centris.ca/en/businesses~for-sale~ville-marie-montreal/12393222?view=Summary,45.4959154,-73.58085786,https://mspublic.centris.ca/media.ashx?id=ADDD250D4B66610DD9319DAD11&t=pi&w=1024&h=1024&sm=c,,,,,,,,,,,,,Restaurant,,,
https://www.centris.ca/en/commercial-units~for-rent~mirabel/12115795?view=Summary&uc=2,45.67125588,-73.93345197,https://mspublic.centris.ca/media.ashx?id=ADDD250D40107EFDD9B36E2D1D&t=pi&w=1024&h=1024&sm=c,Commercial and office space,,"7,305 sqft",,Office (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~montreal-est/27238415?view=Summary&uc=2,45.6307171,-73.49597803,https://mspublic.centris.ca/media.ashx?id=ADDD250D4992C5CD1F68DD6D1E&t=pi&w=1024&h=1024&sm=c,Commercial only,"2018, New","17,170 sqft",,Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~saint-laurent-montreal/10159287?view=Summary&uc=2,45.487279,-73.689861,https://mspublic.centris.ca/media.ashx?id=ADDD250D46AC5FCDDF9DC90D1B&t=pi&w=1024&h=1024&sm=c,Offices only,1974,600 sqft,,Office (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~mont-saint-hilaire/26868338?view=Summary&uc=2,45.57898947,-73.18058298,https://mspublic.centris.ca/media.ashx?id=ADDD250D47A8E2FD1FF6804D14&t=pi&w=1024&h=1024&sm=c,Commercial and office space,"To be built, New",914 sqft,,Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/businesses~for-sale~ville-marie-montreal/18497497?view=Summary,45.495748,-73.580653,https://mspublic.centris.ca/media.ashx?id=ADDD250D211AF6AD118263FD1E&t=pi&w=1024&h=1024&sm=c,,,,,,,,,,,,,Ice cream shop,,,
https://www.centris.ca/en/commercial-units~for-rent~le-plateau-mont-royal-montreal/17616317?view=Summary&uc=2,45.51917,-73.572937,https://mspublic.centris.ca/media.ashx?id=ADDD250D47F0261D1D77393D1C&t=pi&w=1024&h=1024&sm=c,Commercial only,1910,"1,600 sqft",,Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~ahuntsic-cartierville-montreal/25596841?view=Summary&uc=2,45.53164112,-73.71900564,https://mspublic.centris.ca/media.ashx?id=ADDD250D4F6CB23D1BAF28FD1E&t=pi&w=1024&h=1024&sm=c,Commercial and office space,,"21,000 sqft","10,500 sqft",Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/businesses~for-sale~ville-marie-montreal/21743262?view=Summary,45.50126903,-73.56043795,https://mspublic.centris.ca/media.ashx?id=ADDD250D48A371FD1C97AF5D1A&t=pi&w=1024&h=1024&sm=c,,,,,,,,,,,,,Fast food,,,
https://www.centris.ca/en/lots~for-sale~ville-marie-montreal/19151802?view=Summary,45.496496,-73.57438,https://mspublic.centris.ca/media.ashx?id=ADDD250D4415DFAD14C2998D1B&t=pi&w=1024&h=1024&sm=c,,,,,,,,,,,,Residential,,,,
https://www.centris.ca/en/commercial-units~for-rent~ville-marie-montreal/14064466?view=Summary&uc=2,45.51748707,-73.55670722,https://mspublic.centris.ca/media.ashx?id=ADDD250D2D606B6DD3AF9E4D1B&t=pi&w=1024&h=1024&sm=c,Commercial only,,"2,950 sqft",,Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/multi-family-properties~for-sale~ville-marie-montreal/10809270?view=Summary,45.52199789,-73.55280257,https://mspublic.centris.ca/media.ashx?id=ADDD250D467729FDD8C569AD1C&t=pi&w=1024&h=1024&sm=c,Residential and commercial,1875,,,"Residential (6), Commercial (2)",,"4,380 sqft",Driveway (1),"3 x 6 ½, 3 x 7 ½",,"$207,600",,,Basement 6 feet or +,,
https://www.centris.ca/en/commercial-buildings~for-rent~le-sud-ouest-montreal/10001205?view=Summary&uc=2,45.493864,-73.560954,https://mspublic.centris.ca/media.ashx?id=ADDD250D46036DDDDFBF92ED1F&t=pi&w=1024&h=1024&sm=c,Commercial and office space,Unknown age,"3,654 sqft","3,654 sqft",Office (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-buildings~for-rent~hull-gatineau/28054364?view=Summary&uc=2,45.421436,-75.746235,https://mspublic.centris.ca/media.ashx?id=ADDD250D2D14144D18712E7D1D&t=pi&w=1024&h=1024&sm=c,Commercial only,1870,"1,723 sqft",,Commercial (1),,"6,732 sqft",,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~pointe-claire/24362487?view=Summary&uc=2,45.43870935,-73.82676871,https://mspublic.centris.ca/media.ashx?id=ADDD250D2D66E96D10291024D1C&t=pi&w=1024&h=1024&sm=c,Commercial and office space,,280 sqft,,Office (1),,,,,,,,Office,,,
https://www.centris.ca/en/commercial-units~for-rent~mirabel/12767506?view=Summary&uc=2,45.68014292,-73.92845919,https://mspublic.centris.ca/media.ashx?id=ADDD250D47DE432DD743114D1D&t=pi&w=1024&h=1024&sm=c,Commercial only,2016,150 sqft,,Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-buildings~for-sale~ville-marie-montreal/10713537?view=Summary,45.497709,-73.585526,https://mspublic.centris.ca/media.ashx?id=ADDD250D2DD0BD8DD820F71D1E&t=pi&w=1024&h=1024&sm=c,Commercial and residential,"1903, Century","8,289 sqft",,Commercial (1),,"8,289 sqft",,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~dorval/27455859?view=Summary&uc=2,45.44013,-73.734983,https://mspublic.centris.ca/media.ashx?id=ADDD250D2D3FF19D1846102D10&t=pi&w=1024&h=1024&sm=c,Commercial and office space,1982,"From 500 sqft to 1,500 sqft",,Office (2),,"13,250 sqft",,,,,,,,,
