url,latitude,longitude,image_url,Use of property,Year built,Available area,Building area (at ground level),Number of units,Building style,Lot area,Parking,"
Residential units                        ",Main unit,Potential gross revenue,Zoning,Type of business,Additional features,Fireplace/Stove,"
Residential unit                        "
https://www.centris.ca/en/commercial-units~for-rent~saint-hyacinthe/19527372?view=Summary&uc=2,45.64927337,-72.99455487,https://mspublic.centris.ca/media.ashx?id=ADDD250D46D1C60D14F6A77D1D&t=pi&w=1024&h=1024&sm=c,Commercial and office space,1980,"1,600 sqft",,Office (1),,"13,115 sqft",,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~le-vieux-longueuil-longueuil/15397896?view=Summary&uc=2,45.53608424,-73.51281056,https://mspublic.centris.ca/media.ashx?id=ADDD250D45E016ADD586CDBD1D&t=pi&w=1024&h=1024&sm=c,Commercial and office space,2002,"1,500 sqft",,Office (1),,,,,,,,Accounting,,,
https://www.centris.ca/en/commercial-units~for-rent~danville/10761734?view=Summary&uc=2,45.785049,-72.017981,https://mspublic.centris.ca/media.ashx?id=ADDD250D400AE03DD8C2ADAD1C&t=pi&w=1024&h=1024&sm=c,Offices only,Unknown age,"1,400 sqft",,Office (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~la-cite-limoilou-quebec/20699241?view=Summary&uc=2,46.81092678,-71.22044343,https://mspublic.centris.ca/media.ashx?id=ADDD250D432F084D1293BAFD1F&t=pi&w=1024&h=1024&sm=c,Commercial only,"1885, Century","1,405 sqft","1,406 sqft",Office (1),,,,,,,,Other,,,
https://www.centris.ca/en/commercial-units~for-rent~pierrefonds-roxboro-montreal/23994817?view=Summary&uc=2,45.46751,-73.874888,https://mspublic.centris.ca/media.ashx?id=ADDD250D471865BD1A54171D1E&t=pi&w=1024&h=1024&sm=c,Commercial and office space,Unknown age,"2,076 sqft",,Commercial (1),,"59,632 sqft",,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~les-chutes-de-la-chaudiere-est-levis/9664914?view=Summary&uc=2,46.7532667,-71.24014813,https://mspublic.centris.ca/media.ashx?id=ADDD250D438D870DDF20FF4D1E&t=pi&w=1024&h=1024&sm=c,Commercial and office space,1975,"2,800 sqft",,Office (1),,,,,,,,Real estate agency,,,
https://www.centris.ca/en/multi-family-properties~for-sale~ville-marie-montreal/22717036?view=Summary,45.533365,-73.553168,https://mspublic.centris.ca/media.ashx?id=ADDD250D4B5946BD1E884A7D14&t=pi&w=1024&h=1024&sm=c,Residential and commercial,1926,,,"Residential (4), Commercial (2)",,"5,120 sqft",,"1 x 4 ½, 1 x 5 ½, 2 x 6 ½",,"$102,180",,,,,
https://www.centris.ca/en/commercial-units~for-rent~le-sud-ouest-montreal/23439174?view=Summary&uc=2,45.45153563,-73.59316154,https://mspublic.centris.ca/media.ashx?id=ADDD250D4547950D1AE80CAD1D&t=pi&w=1024&h=1024&sm=c,Commercial and office space,,"2,050 sqft",,Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/businesses~for-sale~ville-marie-montreal/16712592?view=Summary,45.507249,-73.552954,https://mspublic.centris.ca/media.ashx?id=ADDD250D460C819DD66D2FDD11&t=pi&w=1024&h=1024&sm=c,,,,,,,,,,,,,Ice cream shop,,,
https://www.centris.ca/en/businesses~for-sale~ville-marie-montreal/23580071?view=Summary,45.497418,-73.578041,https://mspublic.centris.ca/media.ashx?id=ADDD250D43076E5D1A07380D10&t=pi&w=1024&h=1024&sm=c,,,,,,,,,,,,,Fast food,,,
https://www.centris.ca/en/businesses~for-sale~ville-marie-montreal/25389995?view=Summary,45.49579323,-73.57258439,https://mspublic.centris.ca/media.ashx?id=ADDD250D43B5690D1B2A989D12&t=pi&w=1024&h=1024&sm=c,,,,,,,,,,,,,Restaurant,,,
https://www.centris.ca/en/commercial-units~for-sale~ville-marie-montreal/10330772?view=Summary,45.500767,-73.556169,https://mspublic.centris.ca/media.ashx?id=ADDD250D4F5C49DDDF384FCD11&t=pi&w=1024&h=1024&sm=c,Commercial only,2005,"1,621 sqft",,Commercial (1),,,,,,,,Restaurant,,,
https://www.centris.ca/en/commercial-units~for-rent~mirabel/17305633?view=Summary&uc=2,45.67199059,-73.93237908,https://mspublic.centris.ca/media.ashx?id=ADDD250D401F989D1DB1D41D1F&t=pi&w=1024&h=1024&sm=c,Commercial and office space,,"3,420 sqft",,Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~rouyn-noranda/27455165?view=Summary&uc=2,48.239903,-79.021322,https://mspublic.centris.ca/media.ashx?id=ADDD250D463C281D1845593D12&t=pi&w=1024&h=1024&sm=c,Offices only,,"2,234 sqft","2,234 sqft",Office (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-buildings~for-rent~chomedey-laval/26155981?view=Summary&uc=2,45.580252,-73.723152,https://mspublic.centris.ca/media.ashx?id=ADDD250D4596BDAD1B61973D1D&t=pi&w=1024&h=1024&sm=c,Industrial and offices,,"2,500 sqft",,Office (1),,,,,,,,,,,
https://www.centris.ca/en/triplexes~for-sale~ville-marie-montreal/23672852?view=Summary,45.49276492,-73.57075559,https://mspublic.centris.ca/media.ashx?id=ADDD250D477D2B3D1AF2B1CD10&t=pi&w=1024&h=1024&sm=c,Residential only,"1870, Century",,,Residential (3),Attached,"2,322 sqft",Garage (2),"2 x 3 ½, 1 x 6 ½","6 rooms, 2 bedrooms, 2 bathrooms/powder rooms","$58,920",,,,,
https://www.centris.ca/en/businesses~for-sale~ville-marie-montreal/16261958?view=Summary,45.49203419,-73.57786464,https://mspublic.centris.ca/media.ashx?id=ADDD250D2DBEEBADD6B42CAD1C&t=pi&w=1024&h=1024&sm=c,,,,,,,,,,,,,Convenience store,,,
https://www.centris.ca/en/commercial-buildings~for-rent~mont-royal/17910489?view=Summary&uc=2,45.500931,-73.662628,https://mspublic.centris.ca/media.ashx?id=ADDD250D47D5AA3D111C83FD11&t=pi&w=1024&h=1024&sm=c,Commercial and office space,1950,"6,000 sqft","6,000 sqft",Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~montreal-nord-montreal/28819547?view=Summary&uc=2,45.61072253,-73.6082619,https://mspublic.centris.ca/media.ashx?id=ADDD250D2D955F2D1907DE9D10&t=pi&w=1024&h=1024&sm=c,Offices only,2018,"2,500 sqft",,Commercial (1),,687 sqft,,,,,,Office,,,
https://www.centris.ca/en/commercial-units~for-rent~duvernay-laval/14684847?view=Summary&uc=2,45.594248,-73.660895,https://mspublic.centris.ca/media.ashx?id=ADDD250D2DEB865DD5D1486D12&t=pi&w=1024&h=1024&sm=c,Commercial and office space,,"1,800 sqft",,Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/businesses~for-sale~ville-marie-montreal/14495158?view=Summary,45.50595363,-73.56707342,https://mspublic.centris.ca/media.ashx?id=ADDD250D45763EADD33439AD1E&t=pi&w=1024&h=1024&sm=c,,,,,,,,,,,,,Fast food,,,
https://www.centris.ca/en/commercial-units~for-rent~montreal-nord-montreal/17555022?view=Summary&uc=2,45.58549101,-73.63117826,https://mspublic.centris.ca/media.ashx?id=ADDD250D2D4E991D1D935C5D1A&t=pi&w=1024&h=1024&sm=c,Commercial and office space,,"From 5,682 sqft to 16,172 sqft",,Office (2),,,,,,,,,,,
https://www.centris.ca/en/businesses~for-sale~ville-marie-montreal/16508324?view=Summary,45.51911257,-73.555637,https://mspublic.centris.ca/media.ashx?id=ADDD250D2DF3126DD695E8CD1F&t=pi&w=1024&h=1024&sm=c,,,,,,,,,,,,,Restaurant,,,
https://www.centris.ca/en/commercial-units~for-rent~lachenaie-terrebonne/12816023?view=Summary&uc=2,45.72005662,-73.65884392,https://mspublic.centris.ca/media.ashx?id=ADDD250D46FAD80DD72B5F0D1C&t=pi&w=1024&h=1024&sm=c,Commercial and office space,2017,"1,800 sqft",,Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-units~for-sale~ville-marie-montreal/21872732?view=Summary,45.49669741,-73.55498654,https://mspublic.centris.ca/media.ashx?id=ADDD250D2D655C2D1C37DE7D1A&t=pi&w=1024&h=1024&sm=c,Commercial only,"1932, Historic","2,744 sqft",,Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-buildings~for-sale~ville-marie-montreal/18025010?view=Summary,45.513679,-73.554591,https://mspublic.centris.ca/media.ashx?id=ADDD250D45B9153D112D824D14&t=pi&w=1024&h=1024&sm=c,Commercial and residential,"1885, Century","6,000 sqft","6,000 sqft",Commercial (1),,,,,,,,Hotel,,,
https://www.centris.ca/en/lots~for-sale~ville-marie-montreal/10290304?view=Summary,45.49670805,-73.57493336,https://mspublic.centris.ca/media.ashx?id=ADDD250D47A0859DDF3DCBDD1E&t=pi&w=1024&h=1024&sm=c,,,,,,,,,,,,Residential,,,,
https://www.centris.ca/en/commercial-units~for-sale~ville-marie-montreal/24638605?view=Summary,45.50769407,-73.56199406,https://mspublic.centris.ca/media.ashx?id=ADDD250D473D846D1006CB3D1E&t=pi&w=1024&h=1024&sm=c,Commercial and office space,1986,"3,200 sqft",,Office (1),,,,,,,,Office,,,
https://www.centris.ca/en/commercial-units~for-rent~mirabel/26407905?view=Summary&uc=2,45.68510725,-74.03012783,https://mspublic.centris.ca/media.ashx?id=ADDD250D42AFB41D1F46251D1C&t=pi&w=1024&h=1024&sm=c,Offices only,Unknown age,"From 1,500 sqft to 25,500 sqft","24,000 sqft",Office (2),,,,,,,,"Professional offices, Daycare centre",,,
https://www.centris.ca/en/4plex~for-sale~ville-marie-montreal/24612134?view=Summary,45.502811,-73.556247,https://mspublic.centris.ca/media.ashx?id=ADDD250D462EC36D100B34AD12&t=pi&w=1024&h=1024&sm=c,Residential only,1880,,,Residential (4),Semi-detached,"2,375 sqft",,"3 x 4 ½, 1 x 5 ½","5 rooms, 2 bedrooms, 2 bathrooms/powder rooms","$242,100",,,,,
https://www.centris.ca/en/commercial-units~for-rent~ville-marie-montreal/23148391?view=Summary&uc=2,45.501877,-73.57109,https://mspublic.centris.ca/media.ashx?id=ADDD250D40D8873D1A120A0D10&t=pi&w=1024&h=1024&sm=c,Commercial only,,"1,000 sqft",,Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~repentigny-repentigny/22912806?view=Summary&uc=2,45.753072,-73.431123,https://mspublic.centris.ca/media.ashx?id=ADDD250D2DA8285D1E3F64AD1A&t=pi&w=1024&h=1024&sm=c,Commercial and office space,2013,"2,198 sqft",,Commercial (1),,,,,,,,"Real estate agency, Travel agency, Jewellery store, Boutique, Health centre, Beauty salon, Photo studio",,,
https://www.centris.ca/en/5plex~for-sale~ville-marie-montreal/20770294?view=Summary,45.520187,-73.558183,https://mspublic.centris.ca/media.ashx?id=ADDD250D4671EABD127536AD1F&t=pi&w=1024&h=1024&sm=c,Residential only,1900,,,Residential (5),Semi-detached,"3,273 sqft",,"4 x 3 ½, 1 x 5 ½","5 rooms, 2 bedrooms, 2 bathrooms/powder rooms","$55,920",,,,Wood fireplace,
https://www.centris.ca/en/commercial-units~for-rent~cote-des-neiges-notre-dame-de-grace-montreal/12355234?view=Summary&uc=2,45.49562237,-73.63672324,https://mspublic.centris.ca/media.ashx?id=ADDD250D457BDFCDD97BA84D10&t=pi&w=1024&h=1024&sm=c,Commercial and office space,,"1,000 sqft",,Commercial (1),,,,,,,,any commercial activity,,,
https://www.centris.ca/en/commercial-buildings~for-sale~ville-marie-montreal/11415691?view=Summary,45.497775,-73.576328,https://mspublic.centris.ca/media.ashx?id=ADDD250D212F112DD852DB9D14&t=pi&w=1024&h=1024&sm=c,Commercial and office space,1974,"7,000 sqft",,Commercial (1),,"2,475 sqft",,,,,,,,,
https://www.centris.ca/en/businesses~for-sale~ville-marie-montreal/13056224?view=Summary,45.492462,-73.580855,https://mspublic.centris.ca/media.ashx?id=ADDD250D4636C3BDD702B5DD1D&t=pi&w=1024&h=1024&sm=c,,,,,,,,,,,,,Restaurant,,,
https://www.centris.ca/en/commercial-buildings~for-sale~ville-marie-montreal/21174410?view=Summary,45.50979368,-73.5633579,https://mspublic.centris.ca/media.ashx?id=ADDD250D47159D5D1C21BB8D1B&t=pi&w=1024&h=1024&sm=c,Commercial and residential,1975,"3,000 sqft",,"Residential (4), Commercial (1)",,"3,285 sqft",,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~prevost/24100102?view=Summary&uc=2,45.85960341,-74.06615924,https://mspublic.centris.ca/media.ashx?id=ADDD250D2D175B9D1A693DAD10&t=pi&w=1024&h=1024&sm=c,Commercial and industrial,2019,"1,250 sqft","1,250 sqft",Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-units~for-sale~ville-marie-montreal/11122874?view=Summary,45.504972,-73.553368,https://mspublic.centris.ca/media.ashx?id=ADDD250D432AE50DD8F9B98D1E&t=pi&w=1024&h=1024&sm=c,Commercial and office space,1850,"1,005 sqft",,Commercial (1),,,,,,,,Fast food,,,
https://www.centris.ca/en/commercial-buildings~for-sale~le-plateau-mont-royal-montreal/13524042?view=Summary&uc=2,45.5291616,-73.5880657,https://mspublic.centris.ca/media.ashx?id=ADDD250D2D40A7DDD75E7C8D1A&t=pi&w=1024&h=1024&sm=c,Commercial and office space,1947,"From 4,246 sqft to 9,246 sqft","9,246 sqft","Commercial (1), Office (1)",,,,,,,,Variety store,,,
https://www.centris.ca/en/commercial-units~for-rent~l-assomption/24535182?view=Summary&uc=2,45.826724,-73.424024,https://mspublic.centris.ca/media.ashx?id=ADDD250D45A416ED10AADB5D14&t=pi&w=1024&h=1024&sm=c,Commercial and office space,,700 sqft,,Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~la-cite-limoilou-quebec/12067820?view=Summary&uc=2,46.81455968,-71.22080539,https://mspublic.centris.ca/media.ashx?id=ADDD250D4599E1DDD9B4257D1D&t=pi&w=1024&h=1024&sm=c,Commercial and office space,,"1,300 sqft",,Office (1),,,,,,,,Office,,,
https://www.centris.ca/en/commercial-units~for-rent~rosemere/18085046?view=Summary&uc=2,45.6190462,-73.7963773,https://mspublic.centris.ca/media.ashx?id=ADDD250D46FB492D1126C9AD12&t=pi&w=1024&h=1024&sm=c,Commercial and office space,1965,"3,000 sqft","3,000 sqft",Commercial (1),,"19,404 sqft",,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~saint-jean-sur-richelieu/10857584?view=Summary&uc=2,45.33222263,-73.26683979,https://mspublic.centris.ca/media.ashx?id=ADDD250D4378135DD8E870DD1F&t=pi&w=1024&h=1024&sm=c,Commercial and office space,1974,"3,681 sqft",,Commercial (1),,"32,916 sqft",,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~ahuntsic-cartierville-montreal/16164242?view=Summary&uc=2,45.56101684,-73.65726525,https://mspublic.centris.ca/media.ashx?id=ADDD250D2D8A556DD6A8EF4D1E&t=pi&w=1024&h=1024&sm=c,Commercial and office space,,"2,100 sqft","2,100 sqft",Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-buildings~for-sale~ville-marie-montreal/24970266?view=Summary,45.51546207,-73.56391983,https://mspublic.centris.ca/media.ashx?id=ADDD250D479421BD103DC18D10&t=pi&w=1024&h=1024&sm=c,Commercial and residential,"1900, Historic","5,623 sqft",,Commercial (1),,"7,750 sqft",,,,,,Bar,,,
https://www.centris.ca/en/businesses~for-sale~ville-marie-montreal/24901993?view=Summary,45.516906,-73.555492,https://mspublic.centris.ca/media.ashx?id=ADDD250D4661BADD1096FAFD10&t=pi&w=1024&h=1024&sm=c,,,,,,,,,,,,,"Snack bar, Coffee/Donuts, Restaurant, Fast food",,,
https://www.centris.ca/en/commercial-units~for-rent~drummondville/25741876?view=Summary&uc=2,45.857538,-72.466343,https://mspublic.centris.ca/media.ashx?id=ADDD250D46E0152D1BB782CD1E&t=pi&w=1024&h=1024&sm=c,Commercial and office space,Unknown age,"1,680 sqft",,Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/businesses~for-sale~ville-marie-montreal/11361385?view=Summary,45.23912,-74.116877,https://mspublic.centris.ca/media.ashx?id=ADDD250D2DE55B8DD83E7AFD1E&t=pi&w=1024&h=1024&sm=c,,,,,,,,,,,,,Fast food,,,
https://www.centris.ca/en/commercial-units~for-rent~verdun-ile-des-soeurs-montreal/19006841?view=Summary&uc=2,45.452529,-73.572315,https://mspublic.centris.ca/media.ashx?id=ADDD250D2DD4967D144DE0FD1C&t=pi&w=1024&h=1024&sm=c,Commercial and residential,1928,"3,059 sqft",,Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-buildings~for-rent~charlemagne/9374665?view=Summary&uc=2,45.71967888,-73.48948002,https://mspublic.centris.ca/media.ashx?id=ADDD250D40D9769DDB6D97FD1A&t=pi&w=1024&h=1024&sm=c,Commercial and office space,,"From 1,464 sqft to 11,134 sqft",,"Commercial (1), Office (2)",,,,,,,,,,,
https://www.centris.ca/en/commercial-buildings~for-rent~lac-brome/25048833?view=Summary&uc=2,45.21325575,-72.53350965,https://mspublic.centris.ca/media.ashx?id=ADDD250D2D66524D10520D1D10&t=pi&w=1024&h=1024&sm=c,Commercial only,1994,"7,605 sqft",,Commercial (1),,"40,177 sqft",,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~chomedey-laval/10792061?view=Summary&uc=2,45.569869,-73.723194,https://mspublic.centris.ca/media.ashx?id=ADDD250D45A9C6ADD8C8703D10&t=pi&w=1024&h=1024&sm=c,Commercial and office space,"2015, New","4,608 sqft",,Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~trois-rivieres/13359090?view=Summary&uc=2,46.327433,-72.560111,https://mspublic.centris.ca/media.ashx?id=ADDD250D2D8829CDD793064D1C&t=pi&w=1024&h=1024&sm=c,Commercial and office space,1989,"18,000 sqft",,Office (1),,"137,778 sqft",,,,,,,,,
https://www.centris.ca/en/industrial-units~for-rent~trois-rivieres/24277349?view=Summary&uc=2,46.336314,-72.585329,https://mspublic.centris.ca/media.ashx?id=ADDD250D46034F4D10401AED10&t=pi&w=1024&h=1024&sm=c,Industrial only,,"2,700 sqft","2,700 sqft",Industrial (1),,,,,,,,,,,
https://www.centris.ca/en/multi-family-properties~for-sale~ville-marie-montreal/12098291?view=Summary,45.524067,-73.552005,https://mspublic.centris.ca/media.ashx?id=ADDD250D46EEE22DD9BF862D1A&t=pi&w=1024&h=1024&sm=c,Residential only,Unknown age,,,Residential (6),,,,"4 x 6 ½, 2 x 7 ½","6 rooms, 4 bedrooms, 1 bathroom/powder room","$172,800",,,Basement 6 feet or +,,
https://www.centris.ca/en/industrial-units~for-rent~chicoutimi-saguenay/10524963?view=Summary&uc=2,48.434192,-71.090105,https://mspublic.centris.ca/media.ashx?id=ADDD250D46958B2DD8DFF42D1E&t=pi&w=1024&h=1024&sm=c,Offices only,,"1,000 sqft",,Office (1),,,,,,,,Office,,,
https://www.centris.ca/en/commercial-units~for-rent~granby/24524654?view=Summary&uc=2,45.403884,-72.743851,https://mspublic.centris.ca/media.ashx?id=ADDD250D2D7F862D10A20A5D1B&t=pi&w=1024&h=1024&sm=c,Commercial and office space,,"1,240 sqft",,Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~beloeil/17215384?view=Summary&uc=2,45.56429403,-73.20437529,https://mspublic.centris.ca/media.ashx?id=ADDD250D46EFF29D1DA86FBD1E&t=pi&w=1024&h=1024&sm=c,Commercial only,1960,"1,493 sqft",,Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-units~for-sale~ville-marie-montreal/13924810?view=Summary,45.50760685,-73.56215713,https://mspublic.centris.ca/media.ashx?id=ADDD250D43B949CDD3C0F78D14&t=pi&w=1024&h=1024&sm=c,Commercial and office space,1985,371 sqft,,Commercial (1),,77 sqft,,,,,,,,,
https://www.centris.ca/en/lots~for-sale~ville-marie-montreal/24207773?view=Summary,45.490749,-73.583543,https://mspublic.centris.ca/media.ashx?id=ADDD250D2D05B90D101A1F3D12&t=pi&w=1024&h=1024&sm=c,,,,,,,,,,,,Residential,,,,
https://www.centris.ca/en/commercial-units~for-rent~mercier-hochelaga-maisonneuve-montreal/24922969?view=Summary&uc=2,45.54304,-73.568519,https://mspublic.centris.ca/media.ashx?id=ADDD250D4586066D107C9EFD1D&t=pi&w=1024&h=1024&sm=c,Commercial only,,700 sqft,,Office (1),,,,,,,,Office,,,
https://www.centris.ca/en/commercial-units~for-sale~ville-marie-montreal/25501880?view=Summary,45.50257949,-73.56805057,https://mspublic.centris.ca/media.ashx?id=ADDD250D1F71A59D1BE4D9BD11&t=pi&w=1024&h=1024&sm=c,Commercial only,2014,"5,000 sqft",,Office (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~saint-jerome/12510736?view=Summary&uc=2,45.75613096,-74.0196991,https://mspublic.centris.ca/media.ashx?id=ADDD250D4A79E9FDD955A1DD1B&t=pi&w=1024&h=1024&sm=c,Offices only,,130 sqft,,Office (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-buildings~for-rent~rock-forest-saint-elie-deauville-sherbrooke/10303064?view=Summary&uc=2,45.39484437,-72.02208928,https://mspublic.centris.ca/media.ashx?id=ADDD250D2DBAA7FDDF32AEBD1A&t=pi&w=1024&h=1024&sm=c,Commercial only,,"57,802 sqft",,Commercial (1),,"57,802 sqft",,,,,,,,,
https://www.centris.ca/en/4plex~for-sale~ville-marie-montreal/22543271?view=Summary,45.528171,-73.550297,https://mspublic.centris.ca/media.ashx?id=ADDD250D2D2C706D1E06980D1F&t=pi&w=1024&h=1024&sm=c,Residential and commercial,1885,600 sqft,"5,696 sqft","Residential (4), Commercial (1)",Semi-detached,"3,467 sqft",Garage (1),"1 x 4 ½, 1 x 5 ½, 1 x 9 ½, 1 x Other","11 rooms, 4 bedrooms, 2 bathrooms/powder rooms","$22,200",,,,,
https://www.centris.ca/en/commercial-units~for-rent~saint-leonard-montreal/16277188?view=Summary&uc=2,45.57190332,-73.58695878,https://mspublic.centris.ca/media.ashx?id=ADDD250D2DA2343DD6BE57CD10&t=pi&w=1024&h=1024&sm=c,Commercial only,2019,"1,729 sqft",,Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/lots~for-sale~ville-marie-montreal/28723271?view=Summary,45.503068,-73.567821,https://mspublic.centris.ca/media.ashx?id=ADDD250D2D9C1E4D19ACBC0D1E&t=pi&w=1024&h=1024&sm=c,,,,,,,,,,,,Residential,,,,
https://www.centris.ca/en/businesses~for-sale~ville-marie-montreal/12693351?view=Summary,45.507376,-73.560505,https://mspublic.centris.ca/media.ashx?id=ADDD250D2D75E81DD7186A0D14&t=pi&w=1024&h=1024&sm=c,,,,,,,,,,,,,Fast food,,,
https://www.centris.ca/en/commercial-units~for-rent~gatineau-gatineau/21396277?view=Summary&uc=2,45.50505462,-75.55825187,https://mspublic.centris.ca/media.ashx?id=ADDD250D46F1762D1CA092ED1A&t=pi&w=1024&h=1024&sm=c,Commercial only,1990,"1,200 sqft","15,440 sqft",Commercial (1),,"54,371 sqft",,,,,,,,,
https://www.centris.ca/en/commercial-units~for-sale~ville-marie-montreal/27165435?view=Summary,45.506444,-73.570545,https://mspublic.centris.ca/media.ashx?id=ADDD250D4361BADD1F5B469D1C&t=pi&w=1024&h=1024&sm=c,Commercial and office space,2007,"1,080 sqft",,Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~la-cite-limoilou-quebec/14836698?view=Summary&uc=2,46.80604,-71.217031,https://mspublic.centris.ca/media.ashx?id=ADDD250D4553646DD54A238D12&t=pi&w=1024&h=1024&sm=c,Commercial only,,"4,500 sqft",,Commercial (1),,,,,,,,Restaurant,,,
https://www.centris.ca/en/commercial-units~for-sale~saint-hubert-longueuil/17367884?view=Summary&uc=2,45.48211896,-73.38951222,https://mspublic.centris.ca/media.ashx?id=ADDD250D21D053CD1DFD2C7D1A&t=pi&w=1024&h=1024&sm=c,Offices only,2015,"1,844 sqft",,Office (1),,,,,,,,Office,,,
https://www.centris.ca/en/commercial-buildings~for-rent~rock-forest-saint-elie-deauville-sherbrooke/22150442?view=Summary&uc=2,45.39397491,-72.01967239,https://mspublic.centris.ca/media.ashx?id=ADDD250D482114ED1E16348D12&t=pi&w=1024&h=1024&sm=c,Commercial only,2001,"4,725 sqft",,Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-units~for-sale~ville-marie-montreal/25211746?view=Summary,45.50125076,-73.55563226,https://mspublic.centris.ca/media.ashx?id=ADDD250D43FD098D1BD92A4D1E&t=pi&w=1024&h=1024&sm=c,Commercial and office space,"1907, Century","1,153 sqft",,Office (1),,,,,,,,Office,,,
https://www.centris.ca/en/businesses~for-sale~ville-marie-montreal/23242102?view=Summary,45.53818012,-73.55308608,https://mspublic.centris.ca/media.ashx?id=ADDD250D2D102A5D1A48E0AD1F&t=pi&w=1024&h=1024&sm=c,,,,,,,,,,,,,Restaurant,,,
https://www.centris.ca/en/commercial-units~for-rent~chomedey-laval/17219917?view=Summary&uc=2,45.58357093,-73.74101607,https://mspublic.centris.ca/media.ashx?id=ADDD250D458532BD1DA71C3D10&t=pi&w=1024&h=1024&sm=c,Commercial only,,"8,400 sqft","8,400 sqft",Commercial (1),,,,,,,,Other,,,
https://www.centris.ca/en/triplexes~for-sale~ville-marie-montreal/23558792?view=Summary,45.522547,-73.554585,https://mspublic.centris.ca/media.ashx?id=ADDD250D2D7FB06D1A008BBD1A&t=pi&w=1024&h=1024&sm=c,Residential only,1890,,740 sqft,Residential (3),Attached,"2,090 sqft",,3 x 4 ½,"4 rooms, 2 bedrooms, 1 bathroom/powder room","$34,140",,,,,
https://www.centris.ca/en/commercial-units~for-rent~gatineau-gatineau/11202079?view=Summary&uc=2,45.474451,-75.692966,https://mspublic.centris.ca/media.ashx?id=ADDD250D2DEC860DD885516D11&t=pi&w=1024&h=1024&sm=c,Commercial and office space,,400 sqft,,Office (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~ville-marie-montreal/28063057?view=Summary&uc=2,45.512424,-73.557149,https://mspublic.centris.ca/media.ashx?id=ADDD250D4796959D1872EE1D12&t=pi&w=1024&h=1024&sm=c,Commercial and office space,Unknown age,"1,311 sqft",,Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/industrial-buildings~for-sale~ville-marie-montreal/21859460?view=Summary,45.53870279,-73.55460473,https://mspublic.centris.ca/media.ashx?id=ADDD250D2D4F957D1C3B7BCD1D&t=pi&w=1024&h=1024&sm=c,Commercial and residential,1960,"30,301 sqft","21,950 sqft",Industrial (1),,"28,053 sqft",,,,,,,,,
https://www.centris.ca/en/triplexes~for-sale~ville-marie-montreal/15304900?view=Summary,45.520092,-73.553682,https://mspublic.centris.ca/media.ashx?id=ADDD250D46D919FDD5FBB7CD12&t=pi&w=1024&h=1024&sm=c,Residential only,Unknown age,,,Residential (3),Attached,"2,480 sqft",Driveway (3),"1 x 3 ½, 2 x 4 ½","4 rooms, 2 bedrooms, 1 bathroom/powder room","$33,420",,,,,
https://www.centris.ca/en/commercial-units~for-rent~la-haute-saint-charles-quebec/18290378?view=Summary&uc=2,46.851962,-71.359188,https://mspublic.centris.ca/media.ashx?id=ADDD250D4569240D1101A78D11&t=pi&w=1024&h=1024&sm=c,Commercial only,,642 sqft,,Commercial (1),,,,,,,,"Boutique, Other, School, Office",,,
https://www.centris.ca/en/commercial-units~for-sale~ville-marie-montreal/25289732?view=Summary,45.51031896,-73.55256764,https://mspublic.centris.ca/media.ashx?id=ADDD250D4500815D1B15CDCD1F&t=pi&w=1024&h=1024&sm=c,Commercial and office space,1982,"4,360 sqft",,Commercial (1),,,,,,,,,,,
