,accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
473,ROOFTOP,"4628 Avenue de l'Esplanade, Montréal, QC H2T 2Y5, Canada",ChIJnd_qrdQbyUwRkqM2_7vMiuc,"4628 avenue de l' Esplanade  (MTL), Montreal,Canada",45.5190124,-73.590228,1,H2T 2Y5,OK,street_address
474,ROOFTOP,"4622 Avenue de l'Esplanade, Montréal, QC H2T 2Y5, Canada",ChIJsei7rdQbyUwRo0N5vvCszhU,"4622 avenue de l' Esplanade  (MTL), Montreal,Canada",45.5189828,-73.5902014,1,H2T 2Y5,OK,street_address
475,ROOFTOP,"4616 Avenue de l'Esplanade, Montréal, QC H2T 2Y5, Canada",ChIJI0pfrNQbyUwRIrCpV7QggAM,"4616 avenue de l' Esplanade  (MTL), Montreal,Canada",45.5189163,-73.5900872,1,H2T 2Y5,OK,street_address
476,ROOFTOP,"4610 Avenue de l'Esplanade, Montréal, QC H2T 2Y5, Canada",ChIJW9eLrNQbyUwRPwZ8yB8mFik,"4610 avenue de l' Esplanade  (MTL), Montreal,Canada",45.5188948,-73.5900504,1,H2T 2Y5,OK,street_address
477,ROOFTOP,"4604 Avenue de l'Esplanade, Montréal, QC H2T 2Y5, Canada",ChIJ-5Buq9QbyUwRoMgHQQFKBHc,"4604 avenue de l' Esplanade  (MTL), Montreal,Canada",45.5188383,-73.5899292,1,H2T 2Y5,OK,street_address
478,ROOFTOP,"4598 Avenue de l'Esplanade, Montréal, QC H2T 2Y5, Canada",ChIJcdkjq9QbyUwRrq8iacgvFD8,"4598 avenue de l' Esplanade  (MTL), Montreal,Canada",45.51892,-73.5897284,1,H2T 2Y5,OK,street_address
479,ROOFTOP,"4592 Avenue de l'Esplanade, Montréal, QC H2T 2Y5, Canada",ChIJ1c3rqtQbyUwRbscjyyGny3k,"4592 avenue de l' Esplanade  (MTL), Montreal,Canada",45.5187953,-73.5897371,1,H2T 2Y5,OK,street_address
480,RANGE_INTERPOLATED,"4586 Avenue de l'Esplanade, Montréal, QC H2T 2Y5, Canada",Ejk0NTg2IEF2ZW51ZSBkZSBsJ0VzcGxhbmFkZSwgTW9udHLDqWFsLCBRQyBIMlQgMlk1LCBDYW5hZGEiGxIZChQKEgk3bHqq1BvJTBGk1BdfSszmARDqIw,"4586 avenue de l' Esplanade  (MTL), Montreal,Canada",45.5187286,-73.5897,1,H2T 2Y5,OK,street_address
481,ROOFTOP,"4580 Avenue de l'Esplanade, Montréal, QC H2T 2Y5, Canada",ChIJRz1JVdMbyUwRbwmd8vlImfM,"4580 avenue de l' Esplanade  (MTL), Montreal,Canada",45.518711,-73.5895752,1,H2T 2Y5,OK,street_address
482,ROOFTOP,"4574 Avenue de l'Esplanade, Montréal, QC H2T 2Y5, Canada",ChIJr9fIqiwayUwR-qFYPQDPF_I,"4574 avenue de l' Esplanade  (MTL), Montreal,Canada",45.5186549,-73.5895647,1,H2T 2Y5,OK,street_address
483,ROOFTOP,"4532 Avenue de l'Esplanade, Montréal, QC H2T 2Y5, Canada",ChIJ64WcrSwayUwRoA2vlyFC8Fg,"4532 avenue de l' Esplanade  (MTL), Montreal,Canada",45.5184393,-73.589046,1,H2T 2Y5,OK,street_address
484,ROOFTOP,"4526 Avenue de l'Esplanade, Montréal, QC H2T 2Y5, Canada",ChIJU-p2siwayUwRH3AcoCTpdHg,"4526 avenue de l' Esplanade  (MTL), Montreal,Canada",45.5183964,-73.588989,1,H2T 2Y5,OK,street_address
485,ROOFTOP,"4520 Avenue de l'Esplanade, Montréal, QC H2T 2Y5, Canada",ChIJV-BEsiwayUwRokZvBAu8Isw,"4520 avenue de l' Esplanade  (MTL), Montreal,Canada",45.5183872,-73.5888701,1,H2T 2Y5,OK,street_address
486,ROOFTOP,"4514 Avenue de l'Esplanade, Montréal, QC H2T 2Y5, Canada",ChIJDSXPsywayUwRVJBJLZvdLfc,"4514 avenue de l' Esplanade  (MTL), Montreal,Canada",45.5183227,-73.5888001,1,H2T 2Y5,OK,street_address
487,ROOFTOP,"4521 Avenue de l'Esplanade, Montréal, QC H2T 2Y6, Canada",ChIJ17kVTdMbyUwRWDjPk2uCk6M,"4521 avenue de l' Esplanade  (MTL), Montreal,Canada",45.51864459999999,-73.5887382,1,H2T 2Y6,OK,street_address
488,ROOFTOP,"4527 Avenue de l'Esplanade, Montréal, QC H2T 2Y6, Canada",ChIJg84_TdMbyUwRGojTprX1yKg,"4527 avenue de l' Esplanade  (MTL), Montreal,Canada",45.5186364,-73.5887504,1,H2T 2Y6,OK,street_address
489,ROOFTOP,"4533 Avenue de l'Esplanade, Montréal, QC H2T 2Y6, Canada",ChIJD7hCTdMbyUwRvemcrIybpPI,"4533 avenue de l' Esplanade  (MTL), Montreal,Canada",45.5186431,-73.5888066,1,H2T 2Y6,OK,street_address
490,RANGE_INTERPOLATED,"4545 Avenue de l'Esplanade, Montréal, QC H2T 2Y6, Canada",Ejk0NTQ1IEF2ZW51ZSBkZSBsJ0VzcGxhbmFkZSwgTW9udHLDqWFsLCBRQyBIMlQgMlk2LCBDYW5hZGEiGxIZChQKEgk3bHqq1BvJTBGl1BdfSszmARDBIw,"4545 avenue de l' Esplanade  (MTL), Montreal,Canada",45.5187564,-73.5889569,1,H2T 2Y6,OK,street_address
